date,open,high,low,close,volume,factor,vwap
2018-01-02,2867.5282,2912.2694,2867.5282,2908.7318,5400866800.0,1.0,11.74098849484679
2018-01-03,2914.2787,2947.6307,2906.5984,2913.2596,4820686500.0,1.0,14.383773420652847
2018-01-04,2918.2559,2934.1518,2910.6624,2919.4787,4352071100.0,1.0,13.573241325492132
2018-01-05,2926.7782,2940.1799,2920.0843,2932.3558,4994334800.0,1.0,12.512630588762292
2018-01-08,2933.8245,2952.344,2926.8709,2947.7613,5805279300.0,1.0,14.137229445101806
2018-01-09,2947.5496,2972.4254,2947.1159,2969.3175,4058903400.0,1.0,14.904471101480267
2018-01-10,2968.3436,2999.7483,2966.1807,2995.5641,5776385000.0,1.0,12.500468319892112
2018-01-11,2986.7923,3009.992,2981.3345,2997.0448,4235182100.0,1.0,13.288719975936807
2018-01-12,2997.9008,3019.702,2993.5648,3018.5957,3816829600.0,1.0,14.495928155136923
2018-01-15,3027.2028,3070.9386,3022.4724,3048.8075,6498882100.0,1.0,13.812311147635683
2018-01-16,3041.3642,3065.1869,3035.7676,3063.8609,6426246800.0,1.0,13.568595637192148
2018-01-17,3071.499,3132.9929,3060.2185,3076.1819,9106633000.0,1.0,13.084496942393528
2018-01-18,3096.2011,3125.8631,3084.2792,3106.5516,8770692600.0,1.0,12.766864787394328
2018-01-19,3122.672,3145.9935,3100.4066,3117.8212,9495530200.0,1.0,12.426396402593717
2018-01-22,3104.9585,3144.8513,3104.4049,3130.3299,7746585200.0,1.0,12.502798769191875
2018-01-23,3145.1079,3177.7627,3144.2813,3176.5042,10169189900.0,1.0,11.850243407982774
2018-01-24,3189.7683,3202.4699,3150.5532,3180.3318,9913066700.0,1.0,12.628011171053656
2018-01-25,3171.3495,3177.4071,3124.4555,3157.4592,7736397600.0,1.0,12.612380598174013
2018-01-26,3147.4779,3195.072,3147.4779,3172.7776,8216463700.0,1.0,11.497073088754716
2018-01-29,3184.298,3197.8398,3107.9564,3120.6951,7292021400.0,1.0,13.253103434803414
2018-01-30,3109.1853,3127.7506,3077.314,3079.1178,5427594400.0,1.0,12.800117226519358
2018-01-31,3063.2335,3118.7622,3062.5284,3116.8331,5560739700.0,1.0,13.12599853001571
2018-02-01,3120.1331,3141.7685,3101.3386,3141.23,7219328700.0,1.0,12.827358692367062
2018-02-02,3113.2991,3150.697,3082.9941,3149.6414,5290143600.0,1.0,13.628751795886977
2018-02-05,3098.6722,3181.5942,3095.9874,3181.3393,7160734800.0,1.0,12.782011597050069
2018-02-06,3114.3466,3140.0317,3094.4926,3117.4905,9864662200.0,1.0,12.915434702062074
2018-02-07,3147.323,3166.6982,3020.3926,3029.6011,9470049200.0,1.0,12.584035128138511
2018-02-08,2998.603,3019.2746,2911.403,2945.8438,7311784600.0,1.0,12.234305333885246
2018-02-09,2857.4334,2871.5441,2724.5915,2810.0273,9192589900.0,1.0,12.099157969616375
2018-02-12,2803.8592,2823.8067,2776.9576,2805.211,4629000400.0,1.0,12.12387512301792
2018-02-13,2834.3901,2887.893,2834.3901,2852.7169,4662221100.0,1.0,12.202422788357248
2018-02-14,2859.8663,2877.0369,2841.2391,2871.7873,2534981400.0,1.0,12.501100655807573
2018-02-22,2915.9685,2936.8458,2900.8733,2931.8815,3929775300.0,1.0,12.52356780246443
2018-02-23,2941.4214,2966.7522,2926.3629,2957.171,3820748900.0,1.0,12.000501630976064
2018-02-26,2973.8138,2986.813,2933.5161,2973.7855,5021402700.0,1.0,11.668753176079663
2018-02-27,2979.768,2979.768,2918.007,2927.0968,4620143500.0,1.0,11.796695457403
2018-02-28,2899.0023,2905.5729,2866.4622,2878.6666,3875813400.0,1.0,12.31354574294005
2018-03-01,2859.09,2907.2684,2852.4923,2891.2982,3228488800.0,1.0,12.41325933792925
2018-03-02,2864.1751,2887.893,2852.0115,2864.1834,2986451700.0,1.0,12.24991377828076
2018-03-05,2865.2016,2889.7377,2846.9319,2863.9909,2996714900.0,1.0,12.035314265631342
2018-03-06,2878.9177,2893.462,2838.6092,2892.4752,4759357600.0,1.0,11.28726118583735
2018-03-07,2892.442,2921.4421,2868.0359,2878.1506,3791765800.0,1.0,11.971751322035765
2018-03-08,2878.8198,2903.0532,2865.5516,2898.2542,2896303700.0,1.0,12.960546223104988
2018-03-09,2907.0416,2916.5531,2891.8682,2908.1974,3150449000.0,1.0,12.475619186661964
2018-03-12,2922.6177,2927.5081,2897.2355,2909.5793,4498507600.0,1.0,12.056456751568009
2018-03-13,2909.2478,2921.3074,2878.2003,2883.3771,4060760300.0,1.0,10.929808252410268
2018-03-14,2871.7227,2879.5374,2860.9695,2871.334,3088630100.0,1.0,11.956353812002286
2018-03-15,2860.4136,2895.6118,2860.4136,2894.9828,2626007500.0,1.0,13.409309620783642
2018-03-16,2895.5064,2911.1939,2869.9671,2870.7318,2719210100.0,1.0,13.399788680543661
2018-03-19,2870.3649,2898.2345,2856.171,2897.2558,2604293000.0,1.0,14.368088746542728
2018-03-20,2878.9533,2907.5229,2877.0999,2904.3972,2712940300.0,1.0,12.506705123219998
2018-03-21,2928.9996,2932.2176,2879.5251,2894.1835,3338876200.0,1.0,14.166282005604161
2018-03-22,2894.1292,2902.7671,2851.294,2866.6702,3050580800.0,1.0,14.054955439305198
2018-03-23,2786.531,2800.2467,2754.6598,2791.4674,6262325100.0,1.0,11.955999106146693
2018-03-26,2767.3635,2773.5378,2709.568,2738.868,4274221000.0,1.0,13.10673403270444
2018-03-27,2775.6346,2780.8388,2726.3603,2747.5872,3921166400.0,1.0,12.646583541570692
2018-03-28,2714.8736,2746.8803,2687.9567,2694.8259,3458348600.0,1.0,14.746083937287294
2018-03-29,2699.1359,2757.7792,2657.492,2738.7906,4235391900.0,1.0,13.60693205981718
2018-03-30,2735.6242,2740.8194,2714.7667,2722.153,3168191800.0,1.0,12.422972302686977
2018-04-02,2717.1183,2754.6509,2707.6327,2711.3735,3469871900.0,1.0,12.479556727728191
2018-04-03,2690.6325,2709.9075,2683.048,2697.272,2862816200.0,1.0,12.584190228838303
2018-04-04,2706.4205,2730.2484,2698.8863,2702.3692,2673225800.0,1.0,14.046202801873303
2018-04-09,2706.3294,2721.5909,2688.8314,2715.7318,2629354900.0,1.0,13.316621558770937
2018-04-10,2719.517,2781.2685,2710.8682,2780.8036,3808253500.0,1.0,12.316685307582597
2018-04-11,2782.6714,2803.8806,2767.3767,2785.3386,3898881100.0,1.0,11.583673244870175
2018-04-12,2785.1209,2785.3072,2747.772,2749.6986,2611214800.0,1.0,12.51322541293807
2018-04-13,2765.6697,2771.0319,2724.1662,2726.3956,2175001400.0,1.0,12.156843144100964
2018-04-16,2716.5786,2723.5796,2656.52,2664.7045,3674875700.0,1.0,11.578226765601896
2018-04-17,2669.2648,2683.4957,2633.5923,2635.7032,2713975100.0,1.0,12.780813117261099
2018-04-18,2666.6167,2668.7892,2623.9744,2653.7691,3154990300.0,1.0,12.71556201488163
2018-04-19,2661.3006,2693.1359,2656.1487,2682.5518,2602567700.0,1.0,13.298057454566887
2018-04-20,2672.3583,2677.9209,2632.7466,2647.3763,2813964700.0,1.0,12.18529705934122
2018-04-23,2637.071,2671.0096,2636.6773,2664.9175,2532125100.0,1.0,11.658241821859434
2018-04-24,2669.6103,2737.2062,2669.6103,2722.8474,3944528900.0,1.0,12.132547135603444
2018-04-25,2707.7101,2717.3144,2696.2223,2702.9802,2350129300.0,1.0,11.8175285006659
2018-04-26,2712.517,2717.5693,2652.4225,2666.0239,2353313500.0,1.0,13.024549923756439
2018-04-27,2672.6362,2675.0958,2613.5267,2653.5436,2837524800.0,1.0,17.81380530242414
2018-05-02,2662.0787,2667.9624,2637.0612,2652.7311,2665940200.0,1.0,13.81619405829133
