date,open,high,low,close,volume,factor,vwap
2018-01-02,2441.4923,2461.0384,2439.1445,2459.7422,9912657678.0,1.0,11.531999407555855
2018-01-03,2458.5622,2481.3086,2435.0279,2480.9962,12332613442.0,1.0,11.77244135014866
2018-01-04,2477.2751,2491.5131,2459.2779,2481.4676,11875065090.0,1.0,11.721549397418924
2018-01-05,2478.4728,2494.6802,2477.2181,2482.623,12047419597.0,1.0,11.261550083619952
2018-01-08,2479.8218,2499.6519,2447.6342,2481.8677,11947443307.0,1.0,11.602878726261027
2018-01-09,2479.0537,2488.4114,2461.6441,2481.9762,11148875507.0,1.0,11.73877464035082
2018-01-10,2479.2826,2494.7665,2452.7716,2457.1122,11877163108.0,1.0,11.706103383926013
2018-01-11,2450.062,2480.6099,2429.9598,2480.1644,11464752799.0,1.0,12.306820193480911
2018-01-12,2475.968,2483.2914,2462.137,2469.2828,11745949437.0,1.0,11.84013538249322
2018-01-15,2460.5981,2477.4013,2396.773,2400.2826,13020004582.0,1.0,11.720942110187654
2018-01-16,2394.6339,2424.9586,2379.9434,2420.8245,10838746679.0,1.0,12.196808365872503
2018-01-17,2416.121,2443.6474,2404.8269,2427.4048,11401410636.0,1.0,12.239988748353682
2018-01-18,2422.0032,2445.0033,2407.6175,2431.4377,9255611823.0,1.0,12.597922983356732
2018-01-19,2429.9753,2430.0497,2409.7898,2426.4043,9999619948.0,1.0,12.569221158763984
2018-01-22,2418.5852,2450.116,2398.494,2436.1044,10152724349.0,1.0,12.163674355264424
2018-01-23,2432.3254,2448.21,2411.6181,2440.1943,9908507926.0,1.0,11.790692241708966
2018-01-24,2436.9366,2471.8154,2430.2686,2457.3863,11167237634.0,1.0,12.178681464243656
2018-01-25,2453.6284,2463.2077,2435.0796,2452.6986,12438827841.0,1.0,11.951149490147525
2018-01-26,2445.0552,2449.1762,2423.517,2442.0497,10379206121.0,1.0,11.908256255738733
2018-01-29,2438.6082,2441.8426,2411.7823,2412.164,10946159066.0,1.0,11.492214513923454
2018-01-30,2407.4174,2431.227,2387.5059,2410.4184,9262888016.0,1.0,11.553857944211165
2018-01-31,2393.9391,2400.2482,2332.5598,2336.0266,13056441410.0,1.0,10.956588041702858
2018-02-01,2327.6934,2344.7455,2215.685,2223.5908,14635881875.0,1.0,10.361258246353536
2018-02-02,2199.6381,2207.1332,2173.8396,2193.4985,11588320829.0,1.0,10.223889813570505
2018-02-05,2159.7816,2191.9971,2141.7378,2172.1225,8670407010.0,1.0,10.471221676824143
2018-02-06,2131.4885,2139.2452,2029.5481,2040.8017,12138254836.0,1.0,9.619107938293741
2018-02-07,2074.7954,2099.2837,2054.451,2058.1159,10873487480.0,1.0,9.948340645902872
2018-02-08,2051.6622,2091.8779,2040.5056,2090.4518,8588748919.0,1.0,9.987329840349709
2018-02-09,2040.362,2041.2838,1994.0966,2028.4109,10885446262.0,1.0,9.103069746981035
2018-02-12,2040.5668,2090.1793,2036.4131,2084.072,8607451593.0,1.0,9.749980732769949
2018-02-13,2093.7151,2113.4011,2072.5544,2082.819,8653758591.0,1.0,9.723089584161476
2018-02-14,2083.0798,2105.1515,2065.5186,2087.8114,6061067507.0,1.0,9.814266110928502
2018-02-22,2102.6689,2126.0432,2095.8119,2123.8437,7581840995.0,1.0,9.997338174196306
2018-02-23,2124.5195,2135.6334,2108.9291,2134.0446,8157623623.999999,1.0,10.232693592827127
2018-02-26,2144.6779,2191.7414,2141.3493,2188.6437,11646217414.0,1.0,10.457546577620503
2018-02-27,2186.764,2218.4439,2178.4441,2199.9917,11545196156.0,1.0,10.863719179411056
2018-02-28,2183.3943,2211.6837,2168.6386,2201.0828,11519204895.0,1.0,10.656477744682048
2018-03-01,2188.1174,2239.6326,2184.2843,2239.2106,12650051991.0,1.0,10.686235304501208
2018-03-02,2225.4491,2251.371,2209.3729,2229.1043,12420941615.0,1.0,10.757079563005417
2018-03-05,2230.952,2257.669,2210.7835,2249.1126,10895331378.0,1.0,11.106816392418313
2018-03-06,2251.0987,2288.6303,2244.9833,2273.336,13043200110.0,1.0,11.340868296315666
2018-03-07,2270.0874,2279.1914,2262.4868,2263.5536,12187481911.0,1.0,11.08894783162891
2018-03-08,2259.7713,2293.8789,2245.6995,2291.355,11750533920.0,1.0,11.723513756726383
2018-03-09,2291.9316,2339.7515,2279.1375,2335.1667,15426965943.0,1.0,11.696761525676235
2018-03-12,2343.7336,2386.7704,2338.0631,2373.9944,17385319426.0,1.0,11.755117817643715
2018-03-13,2370.0543,2396.067,2339.2386,2363.3702,16607669647.999998,1.0,11.233274996077885
2018-03-14,2354.5452,2362.7719,2327.6339,2336.3345,13762385191.0,1.0,11.356286375577293
2018-03-15,2323.2798,2330.7222,2305.857,2309.4663,13794571951.0,1.0,11.478538758030941
2018-03-16,2308.2213,2317.6358,2294.4485,2315.4441,12446721817.0,1.0,11.091019465981208
2018-03-19,2312.6833,2334.8109,2301.6378,2331.9175,12014903557.0,1.0,11.607782342850811
2018-03-20,2313.1333,2353.4017,2311.4937,2344.0438,13064243935.0,1.0,11.689961185648972
2018-03-21,2346.5303,2376.8285,2332.865,2333.3981,15184825369.999998,1.0,11.90220423259303
2018-03-22,2331.1025,2370.2234,2326.0676,2346.6707,13709318032.0,1.0,11.701921745161831
2018-03-23,2278.9705,2291.3134,2178.8351,2204.8011,20566287809.0,1.0,10.479780824893542
2018-03-26,2165.4615,2243.2366,2127.5656,2239.4949,14425026588.0,1.0,10.889886494953059
2018-03-27,2257.6689,2311.3167,2257.5585,2306.8923,16373411486.000002,1.0,11.782311609584376
2018-03-28,2279.7803,2317.8861,2273.2917,2302.5708,15308400943.0,1.0,12.21746419148515
2018-03-29,2308.5173,2352.1631,2296.2009,2327.1242,13496083309.0,1.0,12.27850202136004
2018-03-30,2333.7396,2377.9839,2332.4332,2367.9516,15413119716.999998,1.0,12.629762921733104
2018-04-02,2374.1036,2406.0121,2344.1977,2381.8309,17141903846.0,1.0,12.596831684503197
2018-04-03,2346.9945,2363.9633,2314.2482,2363.1886,15350986930.000002,1.0,12.373609935058422
2018-04-04,2372.354,2380.8765,2332.7869,2355.2135,14723073399.0,1.0,12.693956006678196
2018-04-09,2341.6163,2375.2107,2310.6526,2368.0129,14012956388.999998,1.0,12.573817663367027
2018-04-10,2367.3392,2392.981,2344.9982,2367.0681,14748208968.0,1.0,12.816762163469232
2018-04-11,2371.1342,2403.2657,2352.2963,2390.2319,14529390044.0,1.0,12.910612797366788
2018-04-12,2383.7535,2407.958,2360.5875,2378.3974,13864500901.0,1.0,13.1112981425021
2018-04-13,2385.3722,2409.0045,2368.1433,2370.9254,12633591620.0,1.0,13.15158900553412
2018-04-16,2361.2787,2371.3139,2322.3603,2351.1276,13244491222.0,1.0,12.249577910588917
2018-04-17,2354.2652,2354.8899,2284.824,2293.0231,14284723427.000002,1.0,12.079852155474287
2018-04-18,2303.8971,2328.8049,2248.5026,2320.7645,14260260241.999998,1.0,11.929741095393961
2018-04-19,2315.0722,2332.3374,2304.6051,2325.1555,14000111997.999998,1.0,12.270056023447536
2018-04-20,2312.4352,2325.8615,2262.3368,2262.7679,13654037430.000002,1.0,11.755175770746366
2018-04-23,2259.2007,2284.4676,2241.3784,2249.5255,11859333270.0,1.0,11.56343871344801
2018-04-24,2248.3263,2311.2421,2247.7734,2305.6793,12848749350.0,1.0,11.901664504024277
2018-04-25,2294.8231,2326.4102,2289.4098,2321.7798,13328315322.0,1.0,12.504288753200912
2018-04-26,2316.6097,2333.9951,2265.8971,2271.6273,13244452932.0,1.0,11.983339501817635
2018-04-27,2276.9067,2298.0052,2262.2489,2271.8789,11637176735.0,1.0,11.731522627769046
2018-05-02,2270.7347,2275.2389,2249.3679,2254.8181,11438119223.0,1.0,11.240741702662351
2018-05-03,2249.0696,2285.3121,2248.1555,2282.765,11814274329.0,1.0,11.586727718348717
2018-05-04,2276.097,2279.1924,2253.7619,2278.5858,10860086961.0,1.0,12.022844975265018
2018-05-07,2280.5797,2324.7268,2279.8722,2324.7268,12555179700.0,1.0,11.886193138279017
2018-05-08,2326.8372,2355.2504,2322.7653,2346.5742,13442671085.0,1.0,12.010175341577213
2018-05-09,2343.6949,2362.0005,2321.5248,2354.2218,13208704784.0,1.0,11.99100869994885
2018-05-10,2355.8752,2386.1952,2334.1481,2372.1041,14001053581.0,1.0,11.922452433617323
2018-05-11,2372.5604,2381.8659,2335.5209,2339.2612,13377336618.0,1.0,11.89060034461338
2018-05-14,2332.1412,2357.4948,2316.9917,2318.907,11694812093.0,1.0,11.670275477251312
2018-05-15,2318.0463,2354.5989,2303.8715,2349.7067,10954486687.0,1.0,11.950547676082087
2018-05-16,2341.0408,2349.7901,2334.2842,2337.3885,12202374867.0,1.0,12.000661485660617
2018-05-17,2334.5973,2360.4002,2330.9275,2337.6681,11459923325.0,1.0,12.049467005487141
2018-05-18,2334.9569,2355.2604,2329.4156,2351.4909,11923156103.0,1.0,11.80507756202108
2018-05-21,2361.8664,2389.9263,2360.5083,2386.2061,14282364278.0,1.0,11.953919236115986
2018-05-22,2384.7643,2418.5428,2375.0441,2403.7874,13825686621.0,1.0,12.768288363477438
2018-05-23,2396.9124,2416.4824,2377.5246,2378.367,14174651657.0,1.0,12.71805485963908
2018-05-24,2375.2372,2399.1443,2369.2394,2377.9495,12044839403.0,1.0,12.647135086920178
2018-05-25,2376.0253,2401.5633,2347.5936,2362.4479,13003706013.0,1.0,12.42135147615014
2018-05-28,2358.6109,2384.2426,2333.0547,2336.9153,12692977965.0,1.0,12.366522640536232
2018-05-29,2329.5742,2333.8598,2300.8948,2315.4844,12521990744.0,1.0,12.0765425523461
2018-05-30,2278.4035,2298.9949,2201.932,2211.8996,14891322549.0,1.0,10.856014241049127
2018-05-31,2227.0559,2258.5658,2202.2911,2253.9573,13038201917.0,1.0,10.795776171135362
2018-06-01,2244.4414,2244.4414,2106.1376,2233.1733,12583548331.0,1.0,11.105938629068234
2018-06-04,2237.2949,2237.2949,2220.2765,2227.19,10352080579.0,1.0,10.94855537252286
2018-06-05,2227.554,2266.852,2190.8472,2266.852,11027754358.0,1.0,11.39805072270363
2018-06-06,2265.3408,2275.3607,2128.916,2275.3607,10887413904.0,1.0,11.926883959311262
2018-06-07,2279.3091,2279.3091,2231.9944,2252.2263,11012793771.0,1.0,11.595284399700942
2018-06-08,2247.033,2247.033,2189.8102,2228.5909,11585523623.0,1.0,10.756658968145112
2018-06-11,2220.9127,2220.9127,2155.807,2213.4622,9915345786.0,1.0,11.422947296494819
2018-06-12,2212.9459,2228.148,2190.6923,2228.148,10677879203.0,1.0,11.717556194571609
2018-06-13,2221.5785,2221.5785,2179.5072,2183.0711,11064783527.0,1.0,11.114268260189164
2018-06-14,2172.3037,2191.893,2166.5664,2175.0278,10057362132.0,1.0,10.948764280808737
2018-06-15,2173.008,2186.212,2112.6443,2113.8411,12483585681.0,1.0,10.205984889735143
2018-06-19,2074.4639,2076.3477,1947.0799,1947.8044,15694121022.0,1.0,8.750910062913366
2018-06-20,1929.1226,1974.5499,1912.7801,1970.0153,12749314113.0,1.0,9.25984579983185
2018-06-21,1964.7715,1973.2551,1892.3776,1909.1022,12885217854.0,1.0,9.24928338972576
2018-06-22,1892.1433,1942.1516,1867.6296,1940.5265,11237067762.0,1.0,8.846506921153155
2018-06-25,1956.5739,1962.5579,1929.0327,1939.6433,10568320326.0,1.0,9.201480835205334
2018-06-26,1911.6141,1968.5451,1904.9853,1967.2346,11108400659.0,1.0,9.36415311017096
2018-06-27,1967.7762,1986.1562,1961.1138,1961.8001,10985583208.0,1.0,9.496348576562527
2018-06-28,1958.412,1977.4628,1933.6946,1941.2256,10512138354.0,1.0,9.548287797392511
2018-06-29,1941.9974,2005.3107,1927.6146,2000.2586,12807701735.0,1.0,9.51831155599596
2018-07-02,1998.4209,2015.2496,1971.8634,1975.9285,15263446456.0,1.0,9.309843072443245
2018-07-03,1976.8157,2018.6423,1963.7649,2013.1795,15384401412.0,1.0,9.7998936385267
2018-07-04,2004.0778,2021.0613,1958.1797,1971.6302,13878094987.0,1.0,9.980767117515047
